Date,Open,High,Low,Close,Volume
02/23/2024,"185.01","185.04","182.23","182.52","45,119,680"
02/22/2024,"183.48","184.96","182.46","184.37","52,292,207"
02/21/2024,"181.94","182.89","180.66","182.32","41,529,672"
02/20/2024,"181.79","182.43","180.00","181.56","53,665,551"
02/16/2024,"183.42","184.85","181.67","182.31","49,752,473"
02/15/2024,"183.55","184.49","181.35","183.86","65,434,500"
02/14/2024,"185.32","185.53","182.44","184.15","54,630,520"
02/13/2024,"185.77","186.21","183.51","185.04","56,529,527"
02/12/2024,"188.42","188.67","186.79","187.15","41,781,930"
02/09/2024,"188.65","189.99","188.00","188.85","45,155,219"
02/08/2024,"189.39","189.54","187.35","188.32","40,962,047"
02/07/2024,"190.64","191.05","188.61","189.41","53,438,961"
02/06/2024,"186.86","189.31","186.77","189.30","43,490,762"
02/05/2024,"188.15","189.25","185.84","187.68","69,668,812"
02/02/2024,"179.86","187.33","179.25","185.85","102,551,695"
02/01/2024,"183.99","186.95","183.82","186.86","64,885,406"
01/31/2024,"187.04","187.10","184.35","184.40","55,467,801"
01/30/2024,"190.94","191.80","187.47","188.04","55,859,367"
01/29/2024,"192.01","192.20","189.58","191.73","47,145,621"
01/26/2024,"194.27","194.76","191.94","192.42","44,594,008"
01/25/2024,"195.22","196.27","193.11","194.17","54,822,129"
01/24/2024,"195.42","196.38","194.34","194.50","53,631,320"
01/23/2024,"195.02","195.75","193.83","195.18","42,355,594"
01/22/2024,"192.30","195.33","192.26","193.89","60,133,848"
01/19/2024,"189.33","191.95","188.82","191.56","68,902,992"
01/18/2024,"186.09","189.14","185.83","188.63","78,005,750"
01/17/2024,"181.27","182.93","180.30","182.68","47,317,434"
01/16/2024,"182.16","184.26","180.93","183.63","65,603,039"
01/12/2024,"186.06","186.74","185.19","185.92","40,477,781"
01/11/2024,"186.54","187.05","183.62","185.59","49,128,406"
01/10/2024,"184.35","186.40","183.92","186.19","46,792,910"
01/09/2024,"183.92","185.15","182.73","185.14","42,841,809"
01/08/2024,"182.09","185.60","181.50","185.56","59,144,473"
01/05/2024,"181.99","182.76","180.17","181.18","62,379,660"
01/04/2024,"182.15","183.09","180.88","181.91","71,983,570"
01/03/2024,"184.22","185.88","183.43","184.25","58,414,461"
01/02/2024,"187.15","188.44","183.89","185.64","82,488,672"
12/29/2023,"193.90","194.40","191.73","192.53","42,672,152"
12/28/2023,"194.14","194.66","193.17","193.58","34,049,898"
12/27/2023,"192.49","193.50","191.09","193.15","48,087,680"
12/26/2023,"193.61","193.89","192.83","193.05","28,919,311"
12/22/2023,"195.18","195.41","192.97","193.60","37,149,566"
12/21/2023,"196.10","197.08","193.50","194.68","46,482,551"
12/20/2023,"196.90","197.68","194.83","194.83","52,242,820"
12/19/2023,"196.16","196.95","195.89","196.94","40,714,047"
12/18/2023,"196.09","196.63","194.39","195.89","55,751,859"
12/15/2023,"197.53","198.40","197.00","197.57","128,538,398"
12/14/2023,"198.02","199.62","196.16","198.11","66,831,570"
12/13/2023,"195.09","198.00","194.85","197.96","70,404,180"
12/12/2023,"193.08","194.72","191.72","194.71","52,696,898"
12/11/2023,"193.11","193.49","191.42","193.18","60,943,699"
12/08/2023,"194.20","195.99","193.67","195.71","53,406,359"
12/07/2023,"193.63","195.00","193.59","194.27","47,477,660"
12/06/2023,"194.45","194.76","192.11","192.32","41,089,738"
12/05/2023,"190.21","194.40","190.18","193.42","66,628,398"
12/04/2023,"189.98","190.05","187.45","189.43","43,389,520"
12/01/2023,"190.33","191.56","189.23","191.24","45,704,820"
11/30/2023,"189.84","190.32","188.19","189.95","48,794,367"
11/29/2023,"190.90","192.09","188.97","189.37","43,014,219"
11/28/2023,"189.78","191.08","189.40","190.40","38,415,422"
11/27/2023,"189.92","190.67","188.90","189.79","40,552,609"
11/24/2023,"190.87","190.90","189.25","189.97","24,048,340"
11/22/2023,"191.49","192.93","190.83","191.31","39,630,008"
11/21/2023,"191.41","191.52","189.74","190.64","38,134,488"
11/20/2023,"189.89","191.91","189.88","191.45","46,538,609"
11/17/2023,"190.25","190.38","188.57","189.69","50,941,398"
11/16/2023,"189.57","190.96","188.65","189.71","54,412,922"
11/15/2023,"187.85","189.50","187.78","188.01","53,790,500"
11/14/2023,"187.70","188.11","186.30","187.44","60,108,379"
11/13/2023,"185.82","186.03","184.21","184.80","43,627,520"
11/10/2023,"183.97","186.57","183.53","186.40","66,177,922"
11/09/2023,"182.96","184.12","181.81","182.41","53,763,539"
11/08/2023,"182.35","183.45","181.59","182.89","49,340,281"
11/07/2023,"179.18","182.44","178.97","181.82","70,529,969"
11/06/2023,"176.38","179.43","176.21","179.23","63,841,312"
11/03/2023,"174.24","176.82","173.35","176.65","79,829,250"
11/02/2023,"175.52","177.78","175.46","177.57","77,334,750"
11/01/2023,"171.00","174.23","170.12","173.97","56,934,910"
